Vector1121212121212121212121212121212121212121212121212121212121212: win, 30, lose, 0,(1500.000000)
Vector1121212121212121212121212121212121212121212121212121212121212: win, 0, lose, 30,(1500.000000)
Vector1: win, 5, lose, 5,(1545.647862)
Vector2: win, 5, lose, 5,(1454.352138)
Vector1121212121212121212121212121212121212121212121212121212121212: win, 30, lose, 0,(1500.000000)
Vector1121212121212121212121212121212121212121212121212121212121212: win, 0, lose, 30,(1500.000000)

-----------------------
Vector1121212121212121212121212121212121212121212121212121212121212: win, 30, lose, 0,(1500.000000)
Vector1121212121212121212121212121212121212121212121212121212121212: win, 0, lose, 30,(1500.000000)
--------------------------
Vector112121212121212121212: win, 10, lose, 0,(1500.000000)
Vector112121212121212121212: win, 0, lose, 10,(1500.000000)
-------------------------------------

Vector1: win, 16, lose, 14,(1471.745913)
Vector2: win, 14, lose, 16,(1528.254087)

Vector1: win, 13, lose, 17,(1450.826853)
Vector2: win, 17, lose, 13,(1549.173147)
Vector1: win, 12, lose, 18,(1342.455792)
Vector3: win, 18, lose, 12,(1608.371061)
Vector1: win, 8, lose, 22,(1402.235010)
Vector4: win, 22, lose, 8,(1440.220781)
Vector1: win, 16, lose, 14,(1506.514544)
Vector5: win, 14, lose, 16,(1395.720466)

Vector1: win, 16, lose, 14,(1419.980566)
Vector2: win, 14, lose, 16,(1580.019434)
Vector1: win, 10, lose, 20,(1292.256481)
Vector3: win, 20, lose, 10,(1627.724085)
Vector1: win, 9, lose, 21,(1387.283677)
Vector4: win, 21, lose, 9,(1404.972804)
Vector1: win, 10, lose, 20,(1401.078076)
Vector5: win, 20, lose, 10,(1486.205602)
Vector1: win, 12, lose, 18,(1388.081411)
Vector6: win, 18, lose, 12,(1512.996665)

Vector1: win, 11, lose, 19,(1333.346823)
Vector2: win, 19, lose, 11,(1666.653177)
Vector1: win, 16, lose, 14,(1371.204952)
Vector3: win, 14, lose, 16,(1462.141871)
Vector1: win, 11, lose, 19,(1359.931244)
Vector4: win, 19, lose, 11,(1511.273708)
Vector1: win, 8, lose, 22,(1377.042058)
Vector5: win, 22, lose, 8,(1482.889186)

Vector1: win, 13, lose, 17,(1466.248836)
Vector2: win, 17, lose, 13,(1533.751164)
Vector1: win, 12, lose, 18,(1487.321430)
Vector3: win, 18, lose, 12,(1478.927406)
Vector1: win, 9, lose, 21,(1360.936349)
Vector4: win, 21, lose, 9,(1626.385081)
Vector1: win, 8, lose, 22,(1268.686794)
Vector5: win, 22, lose, 8,(1592.249555)
Vector1: win, 11, lose, 19,(1368.074783)
Vector6: win, 19, lose, 11,(1400.612012)

Vector1: win, 16, lose, 14,(1464.051659)
Vector2: win, 14, lose, 16,(1437.774288)
Vector1: win, 12, lose, 18,(1393.231381)
Vector3: win, 18, lose, 12,(1549.747684)
Vector1: win, 11, lose, 19,(1426.537199)
Vector4: win, 19, lose, 11,(1593.079263)
Vector1: win, 3, lose, 27,(1325.435190)
Vector5: win, 27, lose, 3,(1693.351564)
Vector1: win, 9, lose, 21,(1267.591345)
Vector6: win, 21, lose, 9,(1458.455856)

Vector1: win, 14, lose, 16,(1394.624848)
Vector2: win, 16, lose, 14,(1310.740785)
Vector1: win, 15, lose, 15,(1535.405901)
Vector3: win, 15, lose, 15,(1408.966631)
Vector1: win, 10, lose, 20,(1437.472391)
Vector4: win, 20, lose, 10,(1691.012773)
Vector1: win, 8, lose, 22,(1502.165408)
Vector5: win, 22, lose, 8,(1628.658547)
Vector1: win, 7, lose, 23,(1386.585523)
Vector6: win, 23, lose, 7,(1574.035742)

Vector1: win, 8, lose, 22,(1274.707814)
Vector2: win, 22, lose, 8,(1422.618493)
Vector1: win, 14, lose, 16,(1324.929609)
Vector3: win, 16, lose, 14,(1358.744836)
Vector1: win, 7, lose, 23,(1328.344412)
Vector4: win, 23, lose, 7,(1687.597970)
Vector1: win, 6, lose, 24,(1346.690193)
Vector5: win, 24, lose, 6,(1610.312766)
Vector1: win, 7, lose, 23,(1300.892495)
Vector6: win, 23, lose, 7,(1619.833440)

Vector1: win, 10, lose, 20,(1252.942245)
Vector2: win, 20, lose, 10,(1470.568743)
Vector1: win, 15, lose, 15,(1358.276425)
Vector3: win, 15, lose, 15,(1253.410656)
Vector1: win, 9, lose, 21,(1357.162597)
Vector4: win, 21, lose, 9,(1688.711797)
Vector1: win, 7, lose, 23,(1367.565792)
Vector5: win, 23, lose, 7,(1599.909571)
Vector1: win, 6, lose, 24,(1339.692689)
Vector6: win, 24, lose, 6,(1647.706543)
